Kode Perusahaan Tercatat;Nama Perusahaan Tercatat;Tanggal Pencatatan;Sektor;Industri;Nilai Dana Dihimpun dari IPO (dalam Jutaan);Jumlah Saham Dicatatkan;Harga IPO;Pergerakan Harga Saham Sejak Tercatat;;;;;Pertumbuhan Kinerja Keuangan 1 Tahun Sejak Tercatat;;;;Nama Profesi Penunjang;;;;Terdapat Perubahan penggunaan Dana;Terdapat Perubahan Pengendali;Terdapat Perubahan manajemen;;Pergerakan Harga Saham Sejak IPO;;;;;;Pergerakan Harga Saham Sejak IPO;;;;;23/06/23;23/07/13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Kolom Bantuan
;;;;;;;;1D;1W;1M;6M;1Y;"Aset 
(%)";"Liabilitas 
(%)";"Pendapatan 
(%)";"Laba Bersih 
(%)";Penjamin Pelaksana Emisi;Kantor Akuntan Publik;Konsultan Hukum;;;Konsultan Hukum;Konsultan Hukum;;1D;1W;1M;6M;1Y;;1D;1W;1M;6M;1Y;Last Price;Last Price;Pansus;Pansus;;Basis Data Keuangan;;Assets;;;;;; Liabilities ;;;;;;NilaiPendapatan;;;;;;ProfitLoss;;;;;;PriorEndYear
;;;;;;;;;;;;;;;;;;;;;;;;;Tanggal;Tanggal;Tanggal;Tanggal;Tanggal;;Harga;Harga;Harga;Harga;Harga;Harga;Harga;Tanggal;Kriteria;;;;2018;2019;2020;2021;2022;;2018;2019;2020;2021;2022;;2018;2019;2020;2021;2022;;2018;2019;2020;2021;2022;;CurrentYear
OILS;PT Indo Oil Perkasa Tbk;06-Sep-21;Consumer Non-Cyclicals;Agricultural Products; 40.500 ; 454.000.000 ; 270 ;24%;126%;22%;-7%;-18%;71%;4%;28%;28%;KOREA INVESTMENT AND SEKURITAS INDONESIA;MAURICE GANDA NAINGGOLAN & PARTNERS (MGN);JURNALIS & PONTO LAW FIRM;;;;;;15-Apr-20;21-Apr-20;14-May-20;14-Oct-20;14-Apr-21;; 139 ; 280 ; 350 ; 488 ; 615 ; 565 ; 545 ;;;;2020;;  ; 401.007.159.459 ; 613.985.072.759 ;  ;  ;;  ; 90.794.998.683 ; 97.303.048.257 ;  ;  ;;  ; 26.225.058.696 ; 40.021.599.014 ;  ;  ;;  ;-85.020.310 ;-419.145.365 ;  ;  ;;
GPSO;PT Geoprima Solusi Tbk;06-Sep-21;Industrials;Machinery; 30.000 ; 666.666.600 ; 180 ;34%;4%;-3%;-41%;-32%;-1%;-29%;-43%;201%;"SURYA FAJAR SEKURITAS; NH KORINDO SEKURITAS INDONESIA (XA)";KOSASIH, NURDIYAMAN, MULYADI, TJAHJO & PARTNERS (MEMBER OF CROWE GLOBAL);ANDREAS, SHEILA & PARTNERS;;;;;;04-May-20;11-May-20;03-Jun-20;03-Nov-20;03-May-21;; 384 ; 400 ; 480 ; 570 ; 318 ; 81 ; 76 ;;;;2020;;  ; 53.490.068.185 ; 175.670.227.782 ;  ;  ;;  ; 22.949.666.795 ; 62.203.354.451 ;  ;  ;;  ; 6.408.193.934 ; 14.752.629.231 ;  ;  ;;  ;-5.193.500.515 ;-4.707.448.627 ;  ;  ;;
MCOL;PT Prima Andalan Mandiri Tbk;07-Sep-21;Energy;Coal; 504.895 ; 3.555.560.000 ; 1.420 ;10%;15%;23%;155%;393%;82%;14%;132%;545%;BUANA CAPITAL SEKURITAS (RF);PURWANTONO, SUNGKORO & SURJA;ASSEGAF HAMZAH & PARTNERS;;;;;;04-Jun-20;10-Jun-20;03-Jul-20;03-Dec-20;03-Jun-21;; 216 ; 240 ; 140 ; 163 ; 1.350 ; 50 ; 50 ;;;;2020;;  ; 25.882.849.347 ; 63.702.393.907 ;  ;  ;;  ; 9.898.353.236 ; 10.070.478.013 ;  ;  ;;  ; 7.331.488.228 ; 10.750.249.297 ;  ;  ;;  ;-1.069.338.810 ; 1.532.594.183 ;  ;  ;;
RSGK;PT Kedoya Adyaraya Tbk;08-Sep-21;Healthcare;Healthcare Providers; 319.817 ; 929.675.000 ; 1.720 ;25%;14%;-2%;-16%;-25%;26%;-61%;48%;1924%;BUANA CAPITAL SEKURITAS (RF);PURWANTONO, SUNGKORO & SURJA;ARMAND YAPSUNTO MUHARAMSYAH & PARTNERS;;;;;;01-Jul-20;07-Jul-20;30-Jul-20;30-Dec-20;30-Jun-21;; 148 ; 268 ; 228 ; 141 ; 50 ; 20 ; 12 ;31-May-23;"1;7";;2020;;  ; 309.499.809.606 ; 364.369.418.844 ;  ;  ;;  ; 156.712.956.485 ; 186.329.197.075 ;  ;  ;;  ; 85.294.887.837 ; 83.572.423.452 ;  ;  ;;  ; 546.713.158 ; 1.696.653.615 ;  ;  ;;
GTSI;PT GTS Internasional Tbk;08-Sep-21;Energy;Oil & Gas; 240.000 ; 15.819.142.767 ; 100 ;-7%;-22%;-26%;-43%;-36%;1%;12%;-13%;-200%;RELIANCE SEKURITAS INDONESIA TBK. (LS);PURWANTONO, SUNGKORO & SURJA;ERY YUNASRI & PARTNERS;;;Yes;;;06-Jul-20;10-Jul-20;05-Aug-20;05-Jan-21;05-Jul-21;; 168 ; 440 ; 384 ; 190 ; 510 ; 350 ; 368 ;;;;2020;;  ; 284.876.518.587 ; 298.119.809.305 ;  ;  ;;  ; 217.477.797.936 ; 198.017.810.077 ;  ;  ;;  ; 3.989.556.949 ; 5.831.454.985 ;  ;  ;;  ;-4.792.652.821 ;-10.796.721.423 ;  ;  ;;
CMNT;PT Cemindo Gemilang Tbk;08-Sep-21;Basic Materials;Construction Materials; 1.168.784 ; 17.125.504.000 ; 680 ;25%;20%;39%;55%;49%;-2%;-11%;16%;-46%;"CIPTADANA SEKURITAS ASIA (KI); UBS SEKURITAS INDONESIA (AK); MANDIRI SEKURITAS (CC)";PURWANTONO, SUNGKORO & SURJA;WITARA CAKRA & ADVOCATES;;;;;;07-Jul-20;13-Jul-20;06-Aug-20;06-Jan-21;06-Jul-21;; 110 ; 90 ; 74 ; 105 ; 102 ; 22 ; 21 ;;;;2020;;  ; 26.201.080.481 ; 27.553.748.262 ;  ;  ;;  ; 16.639.509.230 ; 17.987.580.007 ;  ;  ;;  ; 7.539.408.180 ; 10.735.303.090 ;  ;  ;;  ;-769.052.121 ; 189.529.797 ;  ;  ;;
RUNS;PT Global Sukses Solusi Tbk;08-Sep-21;Technology;Software; 49.987 ; 983.557.875 ; 254 ;9%;58%;84%;-36%;-31%;80%;-54%;-78%;-242%;"BRI DANAREKSA SEKURITAS (OD); MIRAE ASSET SEKURITAS INDONESIA (YP)";SUHARTATI, DRA,, & PARTNERS;KONSULTAN HUKUM WILLIAM HENDRIK ESTER,;;;;;;07-Jul-20;13-Jul-20;06-Aug-20;06-Jan-21;06-Jul-21;; 155 ; 404 ; 372 ; 238 ; 260 ; 575 ; 498 ;;;;2020;;  ; 1.939.464.535.024 ; 1.849.474.128.232 ;  ;  ;;  ; 1.193.651.679.019 ; 1.097.146.065.138 ;  ;  ;;  ; 57.078.284.950 ; 245.525.949.677 ;  ;  ;;  ;-33.961.188.465 ; 6.025.046.722 ;  ;  ;;
SBMA;PT Surya Biru Murni Acetylene Tbk;08-Sep-21;Basic Materials;Chemicals; 50.112 ; 928.400.000 ; 180 ;34%;178%;143%;62%;24%;28%;0%;19%;40%;KGI SEKURITAS INDONESIA (HD);MAURICE GANDA NAINGGOLAN & PARTNERS;JURNALIS & PONTO LAW FIRM;;;;;;20-Jul-20;24-Jul-20;19-Aug-20;19-Jan-21;19-Jul-21;; 121 ; 172 ; 198 ; 129 ; 76 ; 126 ; 126 ;;;;2020;;  ; 107.721.128.375 ; 122.126.066.926 ;  ;  ;;  ; 41.260.947.555 ; 38.424.507.771 ;  ;  ;;  ; 74.078.641.943 ; 86.437.473.132 ;  ;  ;;  ; 2.698.098.622 ; 3.533.690.876 ;  ;  ;;
IDEA;PT Idea Indonesia Akademi Tbk;09-Sep-21;Consumer Cyclicals;Education & Support Services; 29.748 ; 1.062.437.500 ; 140 ;10%;-11%;41%;-50%;-56%;44%;-6%;5%;-90%;"INDO CAPITAL SEKURITAS; PHILLIP SEKURITAS INDONESIA (KK)";ANDI RUSWANDI WISNU DAN PARTNERS;JURNALIS & PONTO LAW FIRM;;;;;;06-Aug-20;12-Aug-20;04-Sep-20;05-Feb-21;05-Aug-21;; 436 ; 640 ; 540 ; 460 ; 65 ; 53 ; 53 ;;;;2020;;  ; 180.985.197.157 ; 386.932.281.944 ;  ;  ;;  ; 94.823.753.523 ; 107.916.478.201 ;  ;  ;;  ; 88.083.780.484 ; 134.898.467.333 ;  ;  ;;  ; 6.269.589.380 ; 9.938.335.509 ;  ;  ;;
KUAS;PT Ace Oldfields Tbk;25-Oct-21;Industrials;Building Products & Fixtures; 76.050 ; 1.292.570.540 ; 195 ;34%;12%;22%;-62%;-65%;27%;-21%;6%;7%;NH KORINDO SEKURITAS INDONESIA (XA);MAURICE GANDA NAINGGOLAN DAN PARTNERS (MGN);JURNALIS & PONTO LAW FIRM;;;;;;10-Aug-20;14-Aug-20;09-Sep-20;09-Feb-21;09-Aug-21;; 145 ; 228 ; 314 ; 570 ; 420 ; 505 ; 585 ;;;;2020;;  ; 638.097.839.897 ; 552.969.367.450 ;  ;  ;;  ; 480.533.417.770 ; 308.088.949.700 ;  ;  ;;  ; 1.044.076.904.078 ; 1.283.823.882.163 ;  ;  ;;  ; 26.174.206.487 ; 33.315.995.623 ;  ;  ;;
BOBA;PT Formosa Ingredient Factory Tbk;01-Nov-21;Consumer Non-Cyclicals;Processed Foods; 39.200 ; 1.155.750.000 ; 280 ;25%;10%;-11%;-30%;-31%;161%;-56%;8%;-7%;VICTORIA SEKURITAS INDONESIA (MI);DOLI, BAMBANG, SULISTIYANTO, DADANG & ALI;KANTOR HUKUM ALDJUFRI GILL PRISCILLA RIZKI (AGPR);;;;;;27-Aug-20;02-Sep-20;25-Sep-20;26-Feb-21;26-Aug-21;; 312 ; 278 ; 150 ; 164 ; 198 ; 278 ; 280 ;;;;2020;;  ; 545.152.568.664 ; 645.406.561.487 ;  ;  ;;  ; 395.434.207.984 ; 368.710.910.028 ;  ;  ;;  ; 301.771.574.140 ; 306.678.853.877 ;  ;  ;;  ; 31.095.315.541 ; 34.381.363.827 ;  ;  ;;
MTEL;PT Dayamitra Telekomunikasi Tbk;22-Nov-21;Infrastructures;Wireless Telecommunication Services; 18.794.820 ; 83.515.452.844 ; 800 ;-4%;-4%;-4%;-14%;-14%;128%;41%;11%;129%;"BRI DANAREKSA SEKURITAS (OD); MANDIRI SEKURITAS (CC); DANASAKTI SEKURITAS INDONESIA (PF); HSBC SEKURITAS INDONESIA (GW); INVESTINDO NUSANTARA SEKURITAS (IN); J.P. MORGAN SEKURITAS INDONESIA (BK); MORGAN STANLEY SEKURITAS INDONESIA (MS); PANIN SEKURITAS TBK. (GR); SAMUEL SEKURITAS INDONESIA (IF); KB VALBURY SEKURITAS (CP); YULIE SEKURITAS INDONESIA TBK (RS)";PURWANTONO, SUNGKORO & SURJA;HADIPUTRANTO HADINOTO & PARTNERS LAW FIRM;;;;;;31-Aug-20;04-Sep-20;29-Sep-20;26-Feb-21;30-Aug-21;; 312 ; 540 ; 545 ; 1.050 ; 1.430 ; 1.335 ; 1.420 ;;;;2020;;  ; 1.461.738.326.816 ; 1.423.431.407.228 ;  ;  ;;  ; 1.013.347.129.591 ; 975.639.940.461 ;  ;  ;;  ; 1.302.932.087.835 ; 995.487.012.130 ;  ;  ;;  ; 30.917.089.807 ; 2.790.161.351 ;  ;  ;;
BINO;PT Perma Plasindo Tbk;25-Nov-21;Industrials;Commercial Services; 60.030 ; 2.175.000.000 ; 138 ;21%;1%;3%;-4%;-5%;12%;-51%;0%;-221%;"SEMESTA INDOVEST SEKURITAS (MG); PHILLIP SEKURITAS INDONESIA (KK); INDO CAPITAL SEKURITAS";ANWAR & PARTNERS;JURNALIS PONTO & PARTNERS;;;;;;07-Sep-20;11-Sep-20;06-Oct-20;05-Mar-21;06-Sep-21;; 600 ; 730 ; 695 ; 3.110 ; 5.100 ; 3.500 ; 3.380 ;;;;2020;;  ; 953.737.479.075 ; 1.185.309.284.871 ;  ;  ;;  ; 452.297.420.962 ; 476.840.915.733 ;  ;  ;;  ; 60.458.598.618 ; 68.578.845.288 ;  ;  ;;  ; 18.350.036.436 ; 23.177.647.741 ;  ;  ;;
DEPO;PT Caturkarda Depo Bangunan Tbk;25-Nov-21;Consumer Cyclicals;Specialty Retail; 493.568 ; 6.790.000.000 ; 482 ;24%;27%;1%;3%;-2%;41%;-5%;-5%;-16%;MIRAE ASSET SEKURITAS INDONESIA (YP);TERAMIHARDJA, PRADHONO & CHANDRA;WITARA CAKRA ADVOCATES (WCA);;;;;;07-Sep-20;11-Sep-20;06-Oct-20;05-Mar-21;06-Sep-21;; 374 ; 600 ; 580 ; 510 ; 436 ; 530 ; 530 ;;;;2020;;  ; 95.321.658.796 ; 138.162.843.285 ;  ;  ;;  ; 23.149.892.511 ; 12.984.594.915 ;  ;  ;;  ; 103.631.348.928 ; 83.429.224.540 ;  ;  ;;  ; 22.237.913.190 ; 11.267.564.242 ;  ;  ;;
WGSH;PT Wira Global Solusi Tbk;06-Dec-21;Technology;Software; 29.190 ; 1.042.500.000 ; 140 ;10%;59%;15%;47%;9%;6896%;1892%;1784%;2647%;SHINHAN SEKURITAS INDONESIA (AH);MIRAWATI SENSI IDRIS;ALDJUFRI GILL PRISCILLA RIZKI;;;;;;07-Sep-20;11-Sep-20;06-Oct-20;05-Mar-21;06-Sep-21;; 148 ; 234 ; 230 ; 230 ; 286 ; 240 ; 218 ;;;;2020;;  ; 352.164.572.160 ; 458.847.780.801 ;  ;  ;;  ; 45.882.023.298 ; 53.093.614.893 ;  ;  ;;  ; 394.664.030.755 ; 183.134.320.448 ;  ;  ;;  ; 21.110.709.619 ;-12.389.404.862 ;  ;  ;;
TAYS;PT Jaya Swarasa Agung Tbk;06-Dec-21;Consumer Non-Cyclicals;Processed Foods; 86.508 ; 1.098.920.000 ; 360 ;-7%;-24%;-44%;-45%;94%;34%;-5%;3%;57%;"NH KORINDO SEKURITAS INDONESIA (XA); KGI SEKURITAS INDONESIA (HD)";ANWAR DAN PARTNERS;TUMBUAN & PARTNERS;;;;;;08-Sep-20;14-Sep-20;07-Oct-20;05-Mar-21;07-Sep-21;; 228 ; 338 ; 340 ; 424 ; 416 ; 318 ; 330 ;;;;2020;;  ; 171.623.023.405 ; 230.260.662.783 ;  ;  ;;  ; 103.634.872.170 ; 114.722.232.011 ;  ;  ;;  ; 39.378.527.500 ; 56.124.355.286 ;  ;  ;;  ; 6.773.641.423 ; 3.477.739.537 ;  ;  ;;
WMPP;PT Widodo Makmur Perkasa Tbk;06-Dec-21;Consumer Non-Cyclicals;Agricultural Products; 707.040 ; 29.419.000.000 ; 160 ;-1%;-6%;-5%;-23%;-26%;60%;25%;106%;271%;"CIMB NIAGA SEKURITAS; MIRAE ASSET SEKURITAS INDONESIA (YP); SURYA FAJAR SEKURITAS; SAMUEL SEKURITAS INDONESIA (IF); KB VALBURY SEKURITAS (CP); YULIE SEKURITAS INDONESIA TBK (RS); BRI DANAREKSA SEKURITAS (OD)";HERTANTO, GRACE, KARUNAWAN;HWMA LAW FIRM;;;;;;08-Sep-20;14-Sep-20;07-Oct-20;05-Mar-21;07-Sep-21;; 2.270 ; 5.500 ; 6.225 ; 4.820 ; 5.125 ; 4.980 ; 4.960 ;31-May-23;7;;2020;;  ; 3.269.085.000.000 ; 3.786.790.000.000 ;  ;  ;;  ; 1.955.092.000.000 ; 1.595.765.000.000 ;  ;  ;;  ; 3.718.243.000.000 ; 4.475.241.000.000 ;  ;  ;;  ; 74.132.000.000 ; 149.729.000.000 ;  ;  ;;
CMRY;PT Cisarua Mountain Dairy Tbk;06-Dec-21;Consumer Non-Cyclicals;Processed Foods; 3.665.825 ; 7.934.683.000 ; 3.080 ;11%;12%;8%;27%;44%;416%;157%;120%;346%;"CLSA SEKURITAS INDONESIA (KZ); MANDIRI SEKURITAS (CC); PANIN SEKURITAS TBK. (GR)";PURWANTONO, SUNGKORO & SURJA (MEMBER OF ERNST & YOUNG GLOBAL LIMITED);ARMAND YAPSUNTO MUHARAMSYAH & PARTNERS;;;;;;10-Sep-20;16-Sep-20;09-Oct-20;09-Mar-21;09-Sep-21;; 474 ; 730 ; 990 ; 1.495 ; 1.925 ; 710 ; 935 ;;;;2020;;  ; 145.936.442.967 ; 242.020.043.097 ;  ;  ;;  ; 89.153.376.174 ; 125.363.802.230 ;  ;  ;;  ; 2.773.863.636 ; 20.084.406.924 ;  ;  ;;  ;-1.805.794.569 ; 3.881.202.314 ;  ;  ;;
RMKE;PT RMK Energy Tbk;07-Dec-21;Energy;Coal; 180.250 ; 4.375.000.000 ; 206 ;-3%;10%;10%;218%;356%;53%;21%;194%;173%;"INDO CAPITAL SEKURITAS; VICTORIA SEKURITAS INDONESIA (MI); ERDIKHA ELIT SEKURITAS (AO); SEMESTA INDOVEST SEKURITAS (MG); PHILLIP SEKURITAS INDONESIA (KK)";MORHAN & PARTNERS;JURNALIS & PONTO LAW FIRM;;;;;;10-Sep-20;16-Sep-20;09-Oct-20;09-Mar-21;09-Sep-21;; 1.675 ; 1.685 ; 1.240 ; 780 ; 670 ; 316 ; 322 ;31-May-22;7;;2020;;  ; 734.058.363.511 ; 1.094.594.651.753 ;  ;  ;;  ; 336.317.227.931 ; 311.708.769.905 ;  ;  ;;  ; 88.599.638.689 ; 75.568.208.684 ;  ;  ;;  ; 1.240.485.345 ; 7.863.645.970 ;  ;  ;;
OBMD;PT OBM Drilchem Tbk;08-Dec-21;Basic Materials;Chemicals; 32.760 ; 732.000.000 ; 180 ;-7%;-22%;-31%;-24%;11%;42%;-41%;11%;-38%;KGI SEKURITAS INDONESIA (HD);MOCH, ZAINUDDIN, SUKMADI & PARTNERS;ADNAN BUYUNG NASUTION & PARTNERS LAW FIRM;;;;;;14-Sep-20;18-Sep-20;13-Oct-20;12-Mar-21;13-Sep-21;; 141 ; 107 ; 50 ; 50 ; 50 ; 50 ; 50 ;;;;2020;;  ; 220.868.704.431 ; 257.774.825.426 ;  ;  ;;  ; 140.910.199.856 ; 108.579.131.988 ;  ;  ;;  ; 284.426.696.462 ; 315.761.662.236 ;  ;  ;;  ; 2.289.939.473 ; 2.638.729.723 ;  ;  ;;
AVIA;PT Avia Avian Tbk;08-Dec-21;Basic Materials;Chemicals; 5.766.000 ; 61.953.555.600 ; 930 ;-7%;-5%;-2%;-16%;-22%;85%;23%;18%;26%;"MANDIRI SEKURITAS (CC); MORGAN STANLEY SEKURITAS INDONESIA (MS); UBS SEKURITAS INDONESIA (AK); CREDIT SUISSE SEKURITAS INDONESIA (CS); DANASAKTI SEKURITAS INDONESIA (PF); TRIMEGAH SEKURITAS INDONESIA TBK. (LG)";PURWANTONO, SUNGKORO & SURJA (MEMBER OF ERNST & YOUNG GLOBAL LIMITED);WITARA CAKRA ADVOCATES;;;;;;15-Sep-20;21-Sep-20;14-Oct-20;12-Mar-21;14-Sep-21;; 123 ; 170 ; 266 ; 48 ; 29 ; 28 ; 29 ;;;;2020;;  ; 59.162.535.532 ; 88.347.975.682 ;  ;  ;;  ; 23.604.648.651 ; 24.191.883.822 ;  ;  ;;  ; 4.583.278.343 ; 3.788.155.945 ;  ;  ;;  ; 818.303.017 ; 399.939.185 ;  ;  ;;
IPPE;PT Indo Pureco Pratama Tbk;09-Dec-21;Consumer Non-Cyclicals;Agricultural Products; 100.000 ; 4.600.000.000 ; 100 ;35%;114%;98%;140%;65%;52%;124%;95%;116%;"KGI SEKURITAS INDONESIA (HD); MIRAE ASSET SEKURITAS INDONESIA (YP)";MAURICE GANDA NAINGGOLAN DAN PARTNERS;WILLIAM & HENDRIK;;;;;;08-Dec-20;15-Dec-20;07-Jan-21;07-Jun-21;07-Dec-21;; 135 ; 380 ; 915 ; 2.920 ; 169 ; 50 ; 50 ;;;;2020;;  ; 153.907.143.935 ; 231.306.809.701 ;  ;  ;;  ; 128.482.120.415 ; 141.425.493.830 ;  ;  ;;  ; 121.262.715.612 ; 48.709.779.263 ;  ;  ;;  ; 3.025.772.144 ; 2.969.670.249 ;  ;  ;;
NASI;PT Wahana Inti Makmur Tbk;13-Dec-21;Consumer Non-Cyclicals;Processed Foods; 31.000 ; 807.400.000 ; 155 ;34%;39%;154%;127%;-39%;213%;16%;12%;-49%;UOB KAY HIAN SEKURITAS (AI);JAMALUDIN, ARDI, SUKIMTO & PARTNERS;ANRA & PARTNERS;;;;;;11-Dec-20;17-Dec-20;08-Jan-21;10-Jun-21;10-Dec-21;; 135 ; 214 ; 134 ; 112 ; 149 ; 64 ; 69 ;;;;2020;;  ; 89.826.611.239 ; 100.138.039.699 ;  ;  ;;  ; 42.299.433.558 ; 26.911.314.093 ;  ;  ;;  ; 93.598.530.287 ; 40.309.472.225 ;  ;  ;;  ; 19.745.550.513 ; 3.391.105.309 ;  ;  ;;
BSML;PT Bintang Samudera Mandiri Lines Tbk;16-Dec-21;Energy;Coal; 43.295 ; 1.850.225.000 ; 117 ;34%;12%;247%;695%;266%;19%;-3%;127%;921%;DANATAMA MAKMUR SEKURITAS (II);KANAKA PURADIREDJA, SUHARTONO;INFINITI & CO;;;;;;17-Dec-20;23-Dec-20;15-Jan-21;16-Jun-21;16-Dec-21;; 135 ; 380 ; 348 ; 376 ; 520 ; 520 ; 510 ;;;;2020;;  ; 779.559.594.478 ; 959.769.030.280 ;  ;  ;;  ; 362.871.980.499 ; 329.538.379.535 ;  ;  ;;  ; 797.791.022.080 ; 1.046.188.914.330 ;  ;  ;;  ; 111.762.630.540 ; 148.365.915.585 ;  ;  ;;
DRMA;PT Dharma Polimetal Tbk;20-Dec-21;Consumer Cyclicals;Auto Components; 352.941 ; 4.705.882.300 ; 500 ;-1%;5%;27%;21%;20%;57%;34%;55%;3744%;"CIMB NIAGA SEKURITAS; SUCOR SEKURITAS (AZ); MNC SEKURITAS (EP)";TANUBRATA, SUTANTO, FAHMI, BAMBANG & PARTNERS (MEMBER OF BDO INTERNATIONAL);ASSEGAF HAMZAH & PARTNERS;;;;;;18-Dec-20;28-Dec-20;15-Jan-21;17-Jun-21;17-Dec-21;; 386 ; 294 ; 270 ; 394 ; 476 ; 278 ; 282 ;;;;2020;;  ; 237.161.054 ; 248.134.573 ;  ;  ;;  ; 191.139.846 ; 183.349.865 ;  ;  ;;  ; 142.695.610 ; 170.581.115 ;  ;  ;;  ; 5.749.937 ; 10.249.473 ;  ;  ;;
ADMR;PT Adaro Minerals Indonesia Tbk;03-Jan-22;Energy;Coal; 660.708 ; 40.882.331.500 ; 100 ;35%;280%;1085%;1525%;1580%;33%;-6%;97%;114%;CIPTADANA SEKURITAS ASIA (KI);TANUDIREDJA, WIBISANA, RINTIS & PARTNERS (MEMBER OF GLOBAL PWC);ADAMS&CO,, COUNSELLORS-AT-LAW;;;;;;30-Dec-20;07-Jan-21;29-Jan-21;29-Jun-21;29-Dec-21;; 660 ; 795 ; 635 ; 1.060 ; 545 ; 238 ; 192 ;;;;2020;;  ; 419.384.759.824 ; 510.500.276.432 ;  ;  ;;  ; 386.809.558.484 ; 97.278.291.602 ;  ;  ;;  ; 36.631.309.574 ; 47.504.673.355 ;  ;  ;;  ; 2.170.457.109 ; 924.320.699 ;  ;  ;;
SEMA;PT Semacom Integrated Tbk;10-Jan-22;Energy;Alternative Energy Equipment; 62.460 ; 1.347.000.000 ; 180 ;34%;34%;53%;12%;-18%;23%;-22%;-24%;-45%;NH KORINDO SEKURITAS INDONESIA (XA);JAMALUDIN, ARDI, SUKIMTO DAN PARTNERS;ADNAN BUYUNG NASUTION & PARTNERS LAW FIRM;;;;;;04-Jan-21;08-Jan-21;03-Feb-21;02-Jul-21;03-Jan-22;; 2.300 ; 2.610 ; 2.440 ; 2.780 ; 3.210 ; 5.025 ; 5.025 ;;;;2021;;  ;  ; 7.800.327.777.736 ; 7.856.111.293.288 ;  ;;  ;  ; 5.102.786.548.569 ; 5.235.942.628.821 ;  ;;  ;  ; 546.466.079.335 ; 651.439.230.359 ;  ;;  ;  ;-247.798.250.886 ;-81.488.613.229 ;  ;;
ASLC;PT Autopedia Sukses Lestari Tbk;25-Jan-22;Consumer Cyclicals;Specialty Retail; 652.613 ; 12.746.354.780 ; 256 ;25%;13%;2%;-30%;-64%;103%;-74%;170%;-86%;"CIPTADANA SEKURITAS ASIA (KI); TRIMEGAH SEKURITAS INDONESIA TBK. (LG)";PURWANTONO SUNGKORO & SURJA;ASSEGAF HAMZAH & PARTNERS;;;;;;06-Jan-21;12-Jan-21;05-Feb-21;05-Jul-21;05-Jan-22;; 525 ; 1.265 ; 8.250 ; 59.000 ; 49.000 ; 37.500 ; 35.650 ;;;;2021;;  ;  ; 2.436.292.000.000 ; 2.593.816.000.000 ;  ;;  ;  ; 1.716.378.000.000 ; 1.675.667.000.000 ;  ;;  ;  ; 137.684.000.000 ; 171.509.000.000 ;  ;;  ;  ; 31.089.000.000 ; 48.059.000.000 ;  ;;
NETV;PT Net Visi Media Tbk;26-Jan-22;Consumer Cyclicals;Media; 150.000 ; 23.453.177.240 ; 196 ;35%;227%;160%;42%;1%;-3%;1%;-11%;6%;NH KORINDO SEKURITAS INDONESIA (XA);KOSASIH, NURDIYAMAN, MULYADI, TJAHJO & PARTNERS (MEMBER OF CROWE GLOBAL);MAKES & PARTNERS LAW FIRM;;;;;;15-Jan-21;21-Jan-21;11-Feb-21;14-Jul-21;14-Jan-22;; 270 ; 520 ; 655 ; 1.150 ; 750 ; 200 ; 191 ;;;;2021;;  ;  ; 132.574.647.160 ; 196.214.583.315 ;  ;;  ;  ; 33.508.266.018 ; 32.442.320.366 ;  ;;  ;  ; 15.630.174.630 ; 87.870.915.737 ;  ;;  ;  ; 1.563.723.881 ; 21.795.184.038 ;  ;;
BAUT;PT Mitra Angkasa Sejahtera Tbk;28-Jan-22;Consumer Cyclicals;Specialty Retail; 145.000 ; 4.800.000.000 ; 100 ;35%;114%;44%;-50%;-50%;163%;8%;51%;35%;UOB KAY HIAN SEKURITAS (AI);JAMALUDIN, ARDI, SUKIMTO & PARTNERS;ANDREAS, SHEILA & PARTNERS LAW OFFICE;;;;;;01-Feb-21;05-Feb-21;26-Feb-21;30-Jul-21;31-Jan-22;; 139 ; 392 ; 2.040 ; 3.360 ; 2.210 ; 1.215 ; 1.270 ;;;;2021;;  ;  ; 721.397.000.000 ; 1.221.492.000.000 ;  ;;  ;  ; 39.961.000.000 ; 26.601.000.000 ;  ;;  ;  ; 8.182.000.000 ; 9.013.000.000 ;  ;;  ;  ; 2.017.000.000 ; 1.417.000.000 ;  ;;
ENAK;PT Champ Resto Indonesia Tbk;08-Feb-22;Consumer Cyclicals;Tourism & Recreation; 368.333 ; 2.166.666.800 ; 850 ;-3%;-13%;-6%;122%;44%;22%;-9%;60%;-950%;UOB KAY HIAN SEKURITAS (AI);KANAKA PURADIREDJA, SUHARTONO;WILIAM & HENDRIK;;;;;;01-Feb-21;05-Feb-21;26-Feb-21;30-Jul-21;31-Jan-22;; 136 ; 382 ; 438 ; 1.310 ; 1.300 ; 238 ; 214 ;;;;2021;;  ;  ; 318.590.601.307 ; 411.102.248.796 ;  ;;  ;  ; 192.916.565.286 ; 239.247.434.175 ;  ;;  ;  ; 159.142.141.567 ; 165.044.439.112 ;  ;;  ;  ; 1.952.782.001 ; 3.438.841.100 ;  ;;
